id,type,name,adaptations,area,description,diet,height,impact,lifespan,name,participants,scientificName,soilMoisture,status,strength,type,waterRequirement
camel,animal,Dromedary Camel,"[""Can go for long periods without water"",""Humps store fat for energy"",""Thick fur insulates against heat"",""Specialized eyelids and nostrils for sand protection"",""Can tolerate extreme temperatures""]",,"The dromedary camel is a large, single-humped ungulate adapted for desert conditions.",herbivore,,,40,,,Camelus dromedarius,,least concern,,,
fennec_fox,animal,Fennec Fox,"[""Large ears dissipate heat and detect prey underground"",""Thick fur insulates against cold nights"",""Kidney adaptations to conserve water"",""Pale coat reflects sunlight"",""Nocturnal behavior to avoid daytime heat""]",,"The smallest canid species, known for its unusually large ears.",omnivore,,,12,,,Vulpes zerda,,least concern,,,
desert_monitor,animal,Desert Monitor,"[""Heat-resistant scales"",""Efficient water conservation"",""Can remain inactive for long periods"",""Burrows to escape extreme temperatures""]",,A large lizard found across North Africa and parts of Asia.,carnivore,,,15,,,Varanus griseus,,least concern,,,
sidewinder,animal,Sidewinder Rattlesnake,"[""Sidewinding locomotion minimizes contact with hot sand"",""Heat-sensing pits detect prey"",""Scales provide camouflage in sandy environments"",""Specialized breathing to prevent sand inhalation""]",,Venomous pit viper known for its sideways movement across sand.,carnivore,,,20,,,Crotalus cerastes,,least concern,,,
scorpion,animal,Deathstalker Scorpion,"[""Nocturnal behavior to avoid heat"",""Exoskeleton prevents water loss"",""UV fluorescence may help detect light levels"",""Burrowing behavior for temperature regulation""]",,"One of the most dangerous scorpion species, with potent venom.",carnivore,,,5,,,Leiurus quinquestriatus,,least concern,,,
darkling_beetle,animal,Darkling Beetle,"[""Waxy cuticle reduces water loss"",""Can collect water from fog on body"",""Stands with head down and abdomen raised to collect moisture"",""Nocturnal to avoid daytime heat""]",,Desert beetles with numerous adaptations for arid environments.,omnivore,,,2,,,Tenebrionidae family,,least concern,,,
roadrunner,animal,Greater Roadrunner,"[""Can extract water from prey"",""Salt glands to excrete excess salt"",""Ground-dwelling to avoid flying in thin, hot air"",""Special feathers for insulation""]",,Fast-running ground cuckoo that rarely flies.,carnivore,,,8,,,Geococcyx californianus,,least concern,,,
desert_tortoise,animal,Desert Tortoise,"[""Can store water in bladder for extended periods"",""Digs burrows to escape extreme temperatures"",""Metabolic adaptations to survive drought"",""Specialized digestive system for low-quality plant material"",""Slow metabolism conserves energy""]",,Long-lived reptile of the Mojave and Sonoran deserts with high-domed shell.,herbivore,,,80,,,Gopherus agassizii,,vulnerable,,,
cactus_wren,animal,Cactus Wren,"[""Obtains most water from food rather than drinking"",""Specialized nest-building in protective cacti"",""Heat-resistant metabolism"",""Efficient kidney function to conserve water""]",,Desert bird that builds nests in cholla and other cacti for protection.,insectivore,,,7,,,Campylorhynchus brunneicapillus,,least concern,,,
kangaroo_rat,animal,Merriam's Kangaroo Rat,"[""Can survive without drinking water"",""Extracts water metabolically from dry seeds"",""Specialized kidneys concentrate urine"",""Nocturnal to avoid daytime heat"",""Burrows underground during day to avoid heat""]",,Small desert rodent with highly specialized adaptations for water conservation.,granivore,,,5,,,Dipodomys merriami,,least concern,,,
gila_monster,animal,Gila Monster,"[""Stores fat in tail for long periods without food"",""Venomous bite for efficient predation"",""Thick skin reduces water loss"",""Slow metabolism allows for infrequent feeding"",""Can survive on as few as 3-4 meals per year""]",,Venomous lizard of the southwestern US and northwestern Mexico.,carnivore,,,20,,,Heloderma suspectum,,near threatened,,,
javelina,animal,Javelina,"[""Can consume water-rich cacti including prickly pear"",""Active in early morning and evening to avoid heat"",""Social behavior reduces predation risk"",""Specialized digestive system for desert plants""]",,"Also known as collared peccary, a pig-like mammal adapted to desert environments.",omnivore,,,10,,,Pecari tajacu,,least concern,,,
